,state,case_count
0,Alabama,61
0,Alaska,61
0,Arizona,2132
0,Arkansas,105
0,California,2974
0,Colorado,85
0,Connecticut,46
0,Delaware,29
0,District of Columbia,54
0,Florida,879
0,Georgia,254
0,Guam,3
0,Hawaii,70
0,Idaho,20
0,Illinois,420
0,Indiana,53
0,Iowa,20
0,Kansas,28
0,Kentucky,86
0,Louisiana,146
0,Maine,28
0,Maryland,359
0,Massachusetts,196
0,Michigan,331
0,Minnesota,64
0,Mississippi,70
0,Missouri,111
0,Montana,17
0,Nebraska,5
0,Nevada,302
0,New Hampshire,10
0,New Jersey,453
0,New Mexico,301
0,New York,1484
0,North Carolina,158
0,North Dakota,3
0,Northern Mariana Islands,0
0,Ohio,100
0,Oklahoma,113
0,Oregon,148
0,Pennsylvania,356
0,Puerto Rico,341
0,Rhode Island,24
0,South Carolina,79
0,South Dakota,3
0,Tennessee,106
0,Texas,2108
0,Utah,49
0,Vermont,7
0,Virgin Islands,2
0,Virginia,331
0,Washington,192
0,West Virginia,29
0,Wisconsin,51
0,Wyoming,8
