,state,case_count
0,Alabama,296
0,Alaska,1291
0,Arizona,1065
0,Arkansas,367
0,California,3531
0,Colorado,385
0,Connecticut,218
0,Delaware,61
0,District of Columbia,52
0,Florida,1760
0,Georgia,429
0,Guam,4
0,Hawaii,241
0,Idaho,131
0,Illinois,427
0,Indiana,228
0,Iowa,108
0,Kansas,127
0,Kentucky,357
0,Louisiana,531
0,Maine,146
0,Maryland,215
0,Massachusetts,200
0,Michigan,599
0,Minnesota,200
0,Mississippi,188
0,Missouri,455
0,Montana,104
0,Nebraska,94
0,Nevada,220
0,New Hampshire,54
0,New Jersey,397
0,New Mexico,254
0,New York,1049
0,North Carolina,622
0,North Dakota,37
0,Northern Mariana Islands,2
0,Ohio,414
0,Oklahoma,659
0,Oregon,542
0,Pennsylvania,502
0,Puerto Rico,25
0,Rhode Island,30
0,South Carolina,279
0,South Dakota,34
0,Tennessee,844
0,Texas,2810
0,Utah,156
0,Vermont,55
0,Virgin Islands,16
0,Virginia,348
0,Washington,884
0,West Virginia,140
0,Wisconsin,210
0,Wyoming,59
