,state,case_count
0,Alabama,212
0,Alaska,1
0,Arizona,180
0,Arkansas,19
0,California,3056
0,Colorado,198
0,Connecticut,424
0,Delaware,13
0,District of Columbia,215
0,Florida,105
0,Georgia,304
0,Guam,0
0,Hawaii,538
0,Idaho,275
0,Illinois,77
0,Indiana,12
0,Iowa,13
0,Kansas,10
0,Kentucky,3
0,Louisiana,15
0,Maine,0
0,Maryland,2
0,Massachusetts,651
0,Michigan,198
0,Minnesota,0
0,Mississippi,1
0,Missouri,34
0,Montana,0
0,Nebraska,0
0,Nevada,352
0,New Hampshire,2
0,New Jersey,183
0,New Mexico,7
0,New York,6396
0,North Carolina,51
0,North Dakota,0
0,Northern Mariana Islands,0
0,Ohio,136
0,Oklahoma,135
0,Oregon,56
0,Pennsylvania,176
0,Puerto Rico,10
0,Rhode Island,0
0,South Carolina,74
0,South Dakota,0
0,Tennessee,696
0,Texas,1043
0,Utah,29
0,Vermont,0
0,Virgin Islands,0
0,Virginia,0
0,Washington,1716
0,West Virginia,68
0,Wisconsin,34
0,Wyoming,7
