,state,case_count
0,Alabama,296
0,Alaska,1287
0,Arizona,1064
0,Arkansas,363
0,California,3517
0,Colorado,386
0,Connecticut,216
0,Delaware,61
0,District of Columbia,52
0,Florida,1746
0,Georgia,425
0,Guam,4
0,Hawaii,241
0,Idaho,130
0,Illinois,427
0,Indiana,228
0,Iowa,108
0,Kansas,127
0,Kentucky,355
0,Louisiana,531
0,Maine,146
0,Maryland,215
0,Massachusetts,199
0,Michigan,600
0,Minnesota,200
0,Mississippi,188
0,Missouri,455
0,Montana,104
0,Nebraska,94
0,Nevada,219
0,New Hampshire,54
0,New Jersey,396
0,New Mexico,253
0,New York,1060
0,North Carolina,615
0,North Dakota,37
0,Northern Mariana Islands,2
0,Ohio,411
0,Oklahoma,647
0,Oregon,543
0,Pennsylvania,502
0,Puerto Rico,25
0,Rhode Island,30
0,South Carolina,277
0,South Dakota,35
0,Tennessee,837
0,Texas,2822
0,Utah,156
0,Vermont,55
0,Virgin Islands,16
0,Virginia,347
0,Washington,882
0,West Virginia,140
0,Wisconsin,209
0,Wyoming,55
