,state,case_count
0,Alabama,290
0,Alaska,1301
0,Arizona,1114
0,Arkansas,354
0,California,3668
0,Colorado,384
0,Connecticut,222
0,Delaware,64
0,District of Columbia,51
0,Florida,2361
0,Georgia,458
0,Guam,4
0,Hawaii,268
0,Idaho,132
0,Illinois,462
0,Indiana,235
0,Iowa,113
0,Kansas,139
0,Kentucky,349
0,Louisiana,513
0,Maine,149
0,Maryland,241
0,Massachusetts,222
0,Michigan,592
0,Minnesota,202
0,Mississippi,199
0,Missouri,458
0,Montana,112
0,Nebraska,86
0,Nevada,247
0,New Hampshire,61
0,New Jersey,432
0,New Mexico,257
0,New York,1047
0,North Carolina,645
0,North Dakota,40
0,Northern Mariana Islands,2
0,Ohio,428
0,Oklahoma,638
0,Oregon,564
0,Pennsylvania,521
0,Puerto Rico,26
0,Rhode Island,38
0,South Carolina,289
0,South Dakota,37
0,Tennessee,947
0,Texas,2758
0,Utah,153
0,Vermont,57
0,Virgin Islands,16
0,Virginia,354
0,Washington,911
0,West Virginia,137
0,Wisconsin,218
0,Wyoming,61
