,state,case_count
0,Alabama,228
0,Alaska,1
0,Arizona,182
0,Arkansas,20
0,California,3467
0,Colorado,217
0,Connecticut,417
0,Delaware,17
0,District of Columbia,253
0,Florida,151
0,Georgia,302
0,Guam,0
0,Hawaii,576
0,Idaho,305
0,Illinois,93
0,Indiana,12
0,Iowa,14
0,Kansas,81
0,Kentucky,3
0,Louisiana,15
0,Maine,1
0,Maryland,3
0,Massachusetts,701
0,Michigan,228
0,Minnesota,0
0,Mississippi,1
0,Missouri,42
0,Montana,0
0,Nebraska,0
0,Nevada,375
0,New Hampshire,3
0,New Jersey,185
0,New Mexico,7
0,New York,7063
0,North Carolina,49
0,North Dakota,0
0,Northern Mariana Islands,0
0,Ohio,160
0,Oklahoma,139
0,Oregon,61
0,Pennsylvania,214
0,Puerto Rico,85
0,Rhode Island,0
0,South Carolina,75
0,South Dakota,0
0,Tennessee,735
0,Texas,1612
0,Utah,32
0,Vermont,0
0,Virgin Islands,0
0,Virginia,0
0,Washington,1874
0,West Virginia,68
0,Wisconsin,34
0,Wyoming,8
