,state,case_count
0,Alabama,293
0,Alaska,1297
0,Arizona,1104
0,Arkansas,353
0,California,3639
0,Colorado,374
0,Connecticut,225
0,Delaware,64
0,District of Columbia,52
0,Florida,2393
0,Georgia,433
0,Guam,4
0,Hawaii,266
0,Idaho,131
0,Illinois,456
0,Indiana,239
0,Iowa,112
0,Kansas,131
0,Kentucky,359
0,Louisiana,515
0,Maine,148
0,Maryland,237
0,Massachusetts,220
0,Michigan,592
0,Minnesota,201
0,Mississippi,196
0,Missouri,458
0,Montana,111
0,Nebraska,88
0,Nevada,232
0,New Hampshire,60
0,New Jersey,431
0,New Mexico,257
0,New York,1051
0,North Carolina,649
0,North Dakota,39
0,Northern Mariana Islands,2
0,Ohio,427
0,Oklahoma,665
0,Oregon,559
0,Pennsylvania,517
0,Puerto Rico,26
0,Rhode Island,33
0,South Carolina,291
0,South Dakota,37
0,Tennessee,956
0,Texas,2746
0,Utah,152
0,Vermont,56
0,Virgin Islands,16
0,Virginia,355
0,Washington,911
0,West Virginia,142
0,Wisconsin,220
0,Wyoming,61
