,state,case_count
0,Alabama,297
0,Alaska,1301
0,Arizona,1073
0,Arkansas,368
0,California,3519
0,Colorado,387
0,Connecticut,219
0,Delaware,63
0,District of Columbia,51
0,Florida,2395
0,Georgia,427
0,Guam,4
0,Hawaii,246
0,Idaho,129
0,Illinois,428
0,Indiana,226
0,Iowa,107
0,Kansas,124
0,Kentucky,357
0,Louisiana,527
0,Maine,148
0,Maryland,222
0,Massachusetts,207
0,Michigan,595
0,Minnesota,199
0,Mississippi,187
0,Missouri,449
0,Montana,105
0,Nebraska,93
0,Nevada,221
0,New Hampshire,55
0,New Jersey,400
0,New Mexico,253
0,New York,1050
0,North Carolina,612
0,North Dakota,37
0,Northern Mariana Islands,2
0,Ohio,409
0,Oklahoma,679
0,Oregon,551
0,Pennsylvania,506
0,Puerto Rico,25
0,Rhode Island,32
0,South Carolina,281
0,South Dakota,34
0,Tennessee,851
0,Texas,2753
0,Utah,152
0,Vermont,55
0,Virgin Islands,16
0,Virginia,348
0,Washington,890
0,West Virginia,142
0,Wisconsin,213
0,Wyoming,59
