,state,case_count
0,Alabama,295
0,Alaska,1288
0,Arizona,1054
0,Arkansas,356
0,California,3493
0,Colorado,382
0,Connecticut,213
0,Delaware,62
0,District of Columbia,51
0,Florida,1747
0,Georgia,421
0,Guam,4
0,Hawaii,241
0,Idaho,129
0,Illinois,420
0,Indiana,224
0,Iowa,109
0,Kansas,130
0,Kentucky,357
0,Louisiana,532
0,Maine,146
0,Maryland,216
0,Massachusetts,200
0,Michigan,598
0,Minnesota,200
0,Mississippi,189
0,Missouri,454
0,Montana,104
0,Nebraska,92
0,Nevada,218
0,New Hampshire,56
0,New Jersey,396
0,New Mexico,251
0,New York,1069
0,North Carolina,620
0,North Dakota,39
0,Northern Mariana Islands,2
0,Ohio,414
0,Oklahoma,664
0,Oregon,546
0,Pennsylvania,503
0,Puerto Rico,25
0,Rhode Island,30
0,South Carolina,277
0,South Dakota,35
0,Tennessee,839
0,Texas,2822
0,Utah,155
0,Vermont,55
0,Virgin Islands,16
0,Virginia,344
0,Washington,874
0,West Virginia,140
0,Wisconsin,207
0,Wyoming,55
