,state,case_count
0,Alabama,197
0,Alaska,1
0,Arizona,180
0,Arkansas,19
0,California,3022
0,Colorado,189
0,Connecticut,411
0,Delaware,10
0,District of Columbia,188
0,Florida,104
0,Georgia,304
0,Guam,0
0,Hawaii,528
0,Idaho,274
0,Illinois,75
0,Indiana,12
0,Iowa,13
0,Kansas,10
0,Kentucky,3
0,Louisiana,15
0,Maine,0
0,Maryland,2
0,Massachusetts,646
0,Michigan,198
0,Minnesota,0
0,Mississippi,1
0,Missouri,33
0,Montana,0
0,Nebraska,0
0,Nevada,351
0,New Hampshire,2
0,New Jersey,183
0,New Mexico,7
0,New York,6336
0,North Carolina,51
0,North Dakota,0
0,Northern Mariana Islands,0
0,Ohio,134
0,Oklahoma,135
0,Oregon,56
0,Pennsylvania,125
0,Puerto Rico,0
0,Rhode Island,0
0,South Carolina,74
0,South Dakota,0
0,Tennessee,688
0,Texas,1011
0,Utah,29
0,Vermont,0
0,Virgin Islands,0
0,Virginia,0
0,Washington,1667
0,West Virginia,68
0,Wisconsin,34
0,Wyoming,7
