,state,case_count
0,Alabama,295
0,Alaska,1304
0,Arizona,1073
0,Arkansas,370
0,California,3528
0,Colorado,384
0,Connecticut,218
0,Delaware,63
0,District of Columbia,51
0,Florida,2441
0,Georgia,435
0,Guam,4
0,Hawaii,243
0,Idaho,131
0,Illinois,425
0,Indiana,228
0,Iowa,109
0,Kansas,124
0,Kentucky,357
0,Louisiana,530
0,Maine,146
0,Maryland,216
0,Massachusetts,202
0,Michigan,598
0,Minnesota,200
0,Mississippi,189
0,Missouri,449
0,Montana,106
0,Nebraska,94
0,Nevada,222
0,New Hampshire,53
0,New Jersey,396
0,New Mexico,254
0,New York,1056
0,North Carolina,629
0,North Dakota,37
0,Northern Mariana Islands,2
0,Ohio,410
0,Oklahoma,669
0,Oregon,550
0,Pennsylvania,507
0,Puerto Rico,25
0,Rhode Island,30
0,South Carolina,281
0,South Dakota,34
0,Tennessee,854
0,Texas,2807
0,Utah,155
0,Vermont,55
0,Virgin Islands,16
0,Virginia,347
0,Washington,886
0,West Virginia,142
0,Wisconsin,213
0,Wyoming,59
