,state,case_count
0,Alabama,62
0,Alaska,63
0,Arizona,2101
0,Arkansas,106
0,California,2925
0,Colorado,83
0,Connecticut,46
0,Delaware,30
0,District of Columbia,56
0,Florida,894
0,Georgia,263
0,Guam,3
0,Hawaii,68
0,Idaho,22
0,Illinois,279
0,Indiana,55
0,Iowa,17
0,Kansas,25
0,Kentucky,80
0,Louisiana,148
0,Maine,28
0,Maryland,345
0,Massachusetts,202
0,Michigan,341
0,Minnesota,47
0,Mississippi,69
0,Missouri,115
0,Montana,15
0,Nebraska,5
0,Nevada,321
0,New Hampshire,7
0,New Jersey,451
0,New Mexico,162
0,New York,1464
0,North Carolina,161
0,North Dakota,4
0,Northern Mariana Islands,0
0,Ohio,108
0,Oklahoma,113
0,Oregon,146
0,Pennsylvania,319
0,Puerto Rico,353
0,Rhode Island,25
0,South Carolina,75
0,South Dakota,3
0,Tennessee,113
0,Texas,2025
0,Utah,48
0,Vermont,7
0,Virgin Islands,2
0,Virginia,220
0,Washington,161
0,West Virginia,32
0,Wisconsin,48
0,Wyoming,7
