,state,case_count
0,Alabama,61
0,Alaska,63
0,Arizona,2135
0,Arkansas,106
0,California,2948
0,Colorado,81
0,Connecticut,47
0,Delaware,30
0,District of Columbia,56
0,Florida,891
0,Georgia,257
0,Guam,3
0,Hawaii,70
0,Idaho,20
0,Illinois,427
0,Indiana,52
0,Iowa,18
0,Kansas,24
0,Kentucky,83
0,Louisiana,146
0,Maine,28
0,Maryland,355
0,Massachusetts,196
0,Michigan,341
0,Minnesota,57
0,Mississippi,70
0,Missouri,109
0,Montana,16
0,Nebraska,5
0,Nevada,309
0,New Hampshire,9
0,New Jersey,453
0,New Mexico,217
0,New York,1485
0,North Carolina,156
0,North Dakota,4
0,Northern Mariana Islands,0
0,Ohio,100
0,Oklahoma,111
0,Oregon,146
0,Pennsylvania,357
0,Puerto Rico,338
0,Rhode Island,24
0,South Carolina,77
0,South Dakota,3
0,Tennessee,108
0,Texas,2115
0,Utah,47
0,Vermont,7
0,Virgin Islands,2
0,Virginia,306
0,Washington,182
0,West Virginia,31
0,Wisconsin,47
0,Wyoming,8
