,state,case_count
0,Alabama,236
0,Alaska,1
0,Arizona,182
0,Arkansas,20
0,California,3510
0,Colorado,212
0,Connecticut,385
0,Delaware,17
0,District of Columbia,273
0,Florida,163
0,Georgia,302
0,Guam,0
0,Hawaii,580
0,Idaho,317
0,Illinois,94
0,Indiana,12
0,Iowa,14
0,Kansas,83
0,Kentucky,3
0,Louisiana,16
0,Maine,1
0,Maryland,3
0,Massachusetts,719
0,Michigan,235
0,Minnesota,0
0,Mississippi,1
0,Missouri,42
0,Montana,0
0,Nebraska,0
0,Nevada,374
0,New Hampshire,3
0,New Jersey,184
0,New Mexico,7
0,New York,7137
0,North Carolina,51
0,North Dakota,0
0,Northern Mariana Islands,0
0,Ohio,163
0,Oklahoma,146
0,Oregon,61
0,Pennsylvania,214
0,Puerto Rico,108
0,Rhode Island,0
0,South Carolina,77
0,South Dakota,0
0,Tennessee,752
0,Texas,2253
0,Utah,33
0,Vermont,0
0,Virgin Islands,0
0,Virginia,0
0,Washington,1894
0,West Virginia,68
0,Wisconsin,34
0,Wyoming,16
