,state,case_count
0,Alabama,61
0,Alaska,62
0,Arizona,2094
0,Arkansas,105
0,California,2904
0,Colorado,84
0,Connecticut,45
0,Delaware,29
0,District of Columbia,32
0,Florida,905
0,Georgia,255
0,Guam,3
0,Hawaii,69
0,Idaho,22
0,Illinois,226
0,Indiana,59
0,Iowa,14
0,Kansas,26
0,Kentucky,77
0,Louisiana,149
0,Maine,28
0,Maryland,340
0,Massachusetts,200
0,Michigan,340
0,Minnesota,48
0,Mississippi,60
0,Missouri,115
0,Montana,16
0,Nebraska,5
0,Nevada,318
0,New Hampshire,7
0,New Jersey,455
0,New Mexico,153
0,New York,1456
0,North Carolina,158
0,North Dakota,4
0,Northern Mariana Islands,0
0,Ohio,109
0,Oklahoma,115
0,Oregon,144
0,Pennsylvania,320
0,Puerto Rico,353
0,Rhode Island,25
0,South Carolina,76
0,South Dakota,3
0,Tennessee,115
0,Texas,2013
0,Utah,49
0,Vermont,7
0,Virgin Islands,2
0,Virginia,218
0,Washington,162
0,West Virginia,32
0,Wisconsin,48
0,Wyoming,6
