,state,case_count
0,Alabama,290
0,Alaska,1310
0,Arizona,1071
0,Arkansas,373
0,California,3565
0,Colorado,373
0,Connecticut,219
0,Delaware,62
0,District of Columbia,51
0,Florida,2471
0,Georgia,424
0,Guam,4
0,Hawaii,257
0,Idaho,129
0,Illinois,461
0,Indiana,234
0,Iowa,111
0,Kansas,125
0,Kentucky,359
0,Louisiana,515
0,Maine,149
0,Maryland,226
0,Massachusetts,214
0,Michigan,593
0,Minnesota,200
0,Mississippi,192
0,Missouri,458
0,Montana,107
0,Nebraska,89
0,Nevada,221
0,New Hampshire,57
0,New Jersey,412
0,New Mexico,251
0,New York,1042
0,North Carolina,623
0,North Dakota,37
0,Northern Mariana Islands,2
0,Ohio,415
0,Oklahoma,684
0,Oregon,555
0,Pennsylvania,513
0,Puerto Rico,25
0,Rhode Island,32
0,South Carolina,282
0,South Dakota,37
0,Tennessee,912
0,Texas,2718
0,Utah,152
0,Vermont,55
0,Virgin Islands,16
0,Virginia,352
0,Washington,902
0,West Virginia,142
0,Wisconsin,220
0,Wyoming,59
