,state,case_count
0,Alabama,290
0,Alaska,1285
0,Arizona,1121
0,Arkansas,353
0,California,3697
0,Colorado,392
0,Connecticut,220
0,Delaware,65
0,District of Columbia,51
0,Florida,2320
0,Georgia,465
0,Guam,4
0,Hawaii,272
0,Idaho,129
0,Illinois,464
0,Indiana,235
0,Iowa,112
0,Kansas,138
0,Kentucky,351
0,Louisiana,510
0,Maine,149
0,Maryland,243
0,Massachusetts,222
0,Michigan,594
0,Minnesota,203
0,Mississippi,200
0,Missouri,457
0,Montana,111
0,Nebraska,85
0,Nevada,250
0,New Hampshire,63
0,New Jersey,433
0,New Mexico,260
0,New York,1054
0,North Carolina,656
0,North Dakota,40
0,Northern Mariana Islands,2
0,Ohio,428
0,Oklahoma,633
0,Oregon,567
0,Pennsylvania,523
0,Puerto Rico,26
0,Rhode Island,37
0,South Carolina,288
0,South Dakota,38
0,Tennessee,957
0,Texas,2740
0,Utah,153
0,Vermont,56
0,Virgin Islands,16
0,Virginia,352
0,Washington,913
0,West Virginia,135
0,Wisconsin,219
0,Wyoming,61
