,state,case_count
0,Alabama,192
0,Alaska,1
0,Arizona,176
0,Arkansas,19
0,California,2809
0,Colorado,185
0,Connecticut,375
0,Delaware,3
0,District of Columbia,186
0,Florida,95
0,Georgia,305
0,Guam,0
0,Hawaii,515
0,Idaho,270
0,Illinois,70
0,Indiana,13
0,Iowa,13
0,Kansas,1
0,Kentucky,3
0,Louisiana,15
0,Maine,0
0,Maryland,3
0,Massachusetts,618
0,Michigan,191
0,Minnesota,0
0,Mississippi,1
0,Missouri,33
0,Montana,0
0,Nebraska,0
0,Nevada,347
0,New Hampshire,2
0,New Jersey,168
0,New Mexico,7
0,New York,6160
0,North Carolina,51
0,North Dakota,0
0,Northern Mariana Islands,0
0,Ohio,125
0,Oklahoma,136
0,Oregon,56
0,Pennsylvania,112
0,Puerto Rico,0
0,Rhode Island,0
0,South Carolina,73
0,South Dakota,0
0,Tennessee,670
0,Texas,942
0,Utah,31
0,Vermont,0
0,Virgin Islands,0
0,Virginia,0
0,Washington,1610
0,West Virginia,68
0,Wisconsin,34
0,Wyoming,8
