,state,case_count
0,Alabama,293
0,Alaska,1303
0,Arizona,1105
0,Arkansas,355
0,California,3627
0,Colorado,375
0,Connecticut,224
0,Delaware,64
0,District of Columbia,52
0,Florida,2408
0,Georgia,434
0,Guam,4
0,Hawaii,264
0,Idaho,131
0,Illinois,457
0,Indiana,239
0,Iowa,111
0,Kansas,129
0,Kentucky,359
0,Louisiana,515
0,Maine,149
0,Maryland,234
0,Massachusetts,216
0,Michigan,591
0,Minnesota,201
0,Mississippi,195
0,Missouri,459
0,Montana,111
0,Nebraska,88
0,Nevada,232
0,New Hampshire,60
0,New Jersey,422
0,New Mexico,255
0,New York,1048
0,North Carolina,644
0,North Dakota,39
0,Northern Mariana Islands,2
0,Ohio,429
0,Oklahoma,669
0,Oregon,558
0,Pennsylvania,521
0,Puerto Rico,26
0,Rhode Island,33
0,South Carolina,290
0,South Dakota,37
0,Tennessee,948
0,Texas,2747
0,Utah,151
0,Vermont,56
0,Virgin Islands,16
0,Virginia,352
0,Washington,909
0,West Virginia,142
0,Wisconsin,222
0,Wyoming,61
