,state,case_count
0,Alabama,296
0,Alaska,1292
0,Arizona,1079
0,Arkansas,367
0,California,3560
0,Colorado,371
0,Connecticut,219
0,Delaware,62
0,District of Columbia,50
0,Florida,2450
0,Georgia,424
0,Guam,4
0,Hawaii,248
0,Idaho,128
0,Illinois,431
0,Indiana,232
0,Iowa,108
0,Kansas,126
0,Kentucky,356
0,Louisiana,515
0,Maine,149
0,Maryland,227
0,Massachusetts,210
0,Michigan,596
0,Minnesota,200
0,Mississippi,189
0,Missouri,458
0,Montana,106
0,Nebraska,91
0,Nevada,223
0,New Hampshire,56
0,New Jersey,411
0,New Mexico,253
0,New York,1044
0,North Carolina,614
0,North Dakota,36
0,Northern Mariana Islands,2
0,Ohio,412
0,Oklahoma,687
0,Oregon,555
0,Pennsylvania,514
0,Puerto Rico,25
0,Rhode Island,32
0,South Carolina,281
0,South Dakota,37
0,Tennessee,896
0,Texas,2738
0,Utah,156
0,Vermont,55
0,Virgin Islands,16
0,Virginia,351
0,Washington,899
0,West Virginia,138
0,Wisconsin,216
0,Wyoming,59
