,state,case_count
0,Alabama,293
0,Alaska,1294
0,Arizona,1051
0,Arkansas,359
0,California,3482
0,Colorado,386
0,Connecticut,212
0,Delaware,61
0,District of Columbia,51
0,Florida,1748
0,Georgia,412
0,Guam,4
0,Hawaii,241
0,Idaho,129
0,Illinois,419
0,Indiana,222
0,Iowa,110
0,Kansas,129
0,Kentucky,340
0,Louisiana,539
0,Maine,146
0,Maryland,216
0,Massachusetts,202
0,Michigan,603
0,Minnesota,200
0,Mississippi,188
0,Missouri,450
0,Montana,108
0,Nebraska,93
0,Nevada,215
0,New Hampshire,57
0,New Jersey,394
0,New Mexico,251
0,New York,1077
0,North Carolina,613
0,North Dakota,37
0,Northern Mariana Islands,2
0,Ohio,417
0,Oklahoma,664
0,Oregon,536
0,Pennsylvania,498
0,Puerto Rico,25
0,Rhode Island,29
0,South Carolina,277
0,South Dakota,35
0,Tennessee,822
0,Texas,2786
0,Utah,154
0,Vermont,55
0,Virgin Islands,16
0,Virginia,347
0,Washington,873
0,West Virginia,140
0,Wisconsin,205
0,Wyoming,55
