,state,case_count
0,Alabama,216
0,Alaska,1
0,Arizona,180
0,Arkansas,21
0,California,3202
0,Colorado,203
0,Connecticut,433
0,Delaware,15
0,District of Columbia,216
0,Florida,122
0,Georgia,306
0,Guam,0
0,Hawaii,546
0,Idaho,280
0,Illinois,83
0,Indiana,12
0,Iowa,14
0,Kansas,61
0,Kentucky,3
0,Louisiana,15
0,Maine,0
0,Maryland,2
0,Massachusetts,670
0,Michigan,206
0,Minnesota,0
0,Mississippi,1
0,Missouri,33
0,Montana,0
0,Nebraska,0
0,Nevada,361
0,New Hampshire,2
0,New Jersey,182
0,New Mexico,7
0,New York,6564
0,North Carolina,49
0,North Dakota,0
0,Northern Mariana Islands,0
0,Ohio,143
0,Oklahoma,136
0,Oregon,56
0,Pennsylvania,214
0,Puerto Rico,62
0,Rhode Island,0
0,South Carolina,74
0,South Dakota,0
0,Tennessee,705
0,Texas,1358
0,Utah,29
0,Vermont,0
0,Virgin Islands,0
0,Virginia,0
0,Washington,1771
0,West Virginia,68
0,Wisconsin,32
0,Wyoming,8
