,state,case_count
0,Alabama,61
0,Alaska,62
0,Arizona,2085
0,Arkansas,106
0,California,2906
0,Colorado,86
0,Connecticut,46
0,Delaware,29
0,District of Columbia,32
0,Florida,901
0,Georgia,255
0,Guam,3
0,Hawaii,69
0,Idaho,22
0,Illinois,227
0,Indiana,59
0,Iowa,16
0,Kansas,26
0,Kentucky,77
0,Louisiana,149
0,Maine,28
0,Maryland,340
0,Massachusetts,199
0,Michigan,339
0,Minnesota,48
0,Mississippi,59
0,Missouri,115
0,Montana,16
0,Nebraska,5
0,Nevada,320
0,New Hampshire,7
0,New Jersey,453
0,New Mexico,165
0,New York,1457
0,North Carolina,159
0,North Dakota,4
0,Northern Mariana Islands,0
0,Ohio,108
0,Oklahoma,116
0,Oregon,146
0,Pennsylvania,319
0,Puerto Rico,357
0,Rhode Island,25
0,South Carolina,75
0,South Dakota,3
0,Tennessee,115
0,Texas,1987
0,Utah,50
0,Vermont,7
0,Virgin Islands,2
0,Virginia,220
0,Washington,167
0,West Virginia,33
0,Wisconsin,48
0,Wyoming,7
