,state,case_count
0,Alabama,61
0,Alaska,65
0,Arizona,2137
0,Arkansas,106
0,California,2949
0,Colorado,80
0,Connecticut,47
0,Delaware,30
0,District of Columbia,55
0,Florida,890
0,Georgia,254
0,Guam,3
0,Hawaii,70
0,Idaho,20
0,Illinois,430
0,Indiana,53
0,Iowa,18
0,Kansas,25
0,Kentucky,83
0,Louisiana,146
0,Maine,28
0,Maryland,356
0,Massachusetts,194
0,Michigan,335
0,Minnesota,59
0,Mississippi,70
0,Missouri,109
0,Montana,16
0,Nebraska,5
0,Nevada,308
0,New Hampshire,9
0,New Jersey,454
0,New Mexico,222
0,New York,1483
0,North Carolina,158
0,North Dakota,4
0,Northern Mariana Islands,0
0,Ohio,100
0,Oklahoma,111
0,Oregon,146
0,Pennsylvania,356
0,Puerto Rico,340
0,Rhode Island,24
0,South Carolina,77
0,South Dakota,3
0,Tennessee,108
0,Texas,2118
0,Utah,49
0,Vermont,7
0,Virgin Islands,2
0,Virginia,318
0,Washington,182
0,West Virginia,30
0,Wisconsin,47
0,Wyoming,8
